"Strategy Name";"Filters result";"Complexity";"# of trades";"Profit factor";"Net profit";"Drawdown";"Ret/DD Ratio";"Avg. Trade";"Stability";"Stagnation";"Mini equity chart";"Price indicators";"Entry indicators";"Exit indicators";"Trades Symmetry";"CAGR";"CAGR/Max DD %";"CAGR/Max DD % (MC retest, Conf. level 95%)"
"Strategy 4.19.155";"";"6";"1635";"1.41";"41251.44";"2765.26";"14.92";"25.23";"0.89";"413";"";"";"TEMA";"ExitAfterXBars";"0.0";"19.91";"1.0";"1.0"
"Strategy 4.19.156";"";"6";"1119";"1.42";"29859.66";"2487.84";"12.0";"26.68";"0.89";"372";"";"";"HeikenAshiClose";"ExitAfterXBars";"0.0";"16.61";"0.94";"0.94"
"Strategy 4.19.153";"";"5";"1365";"1.42";"35965.98";"2613.75";"13.76";"26.35";"0.84";"437";"";"";"TEMA";"ExitAfterXBars";"0.0";"18.47";"0.95";"0.95"
"Strategy 4.19.165";"";"6";"1537";"1.46";"41268.06";"3229.77";"12.78";"26.85";"0.88";"566";"";"";"TEMA";"ExitAfterXBars";"0.0";"19.91";"1.25";"1.25"
"Strategy 4.19.167";"";"5";"1744";"1.41";"43826.66";"3452.6";"12.69";"25.13";"0.88";"520";"";"";"Close";"ExitAfterXBars";"0.0";"20.57";"1.06";"1.06"
"Strategy 4.19.168";"";"4";"1508";"1.47";"42307.02";"2961.13";"14.29";"28.06";"0.91";"529";"";"";"TEMA";"ExitAfterXBars";"0.0";"20.18";"1.2";"1.2"
"Strategy 4.19.169";"";"5";"1347";"1.47";"39198.52";"2463.91";"15.91";"29.1";"0.88";"392";"";"";"TEMA";"ExitAfterXBars";"0.0";"19.37";"1.31";"1.31"
"Strategy 4.19.180";"";"6";"1533";"1.48";"43172.16";"2688.22";"16.06";"28.16";"0.87";"496";"";"";"TEMA";"ExitAfterXBars";"0.0";"20.4";"1.13";"1.13"
"Strategy 4.19.178";"";"4";"1636";"1.46";"44160.59";"2463.91";"17.92";"26.99";"0.91";"315";"";"";"TEMA";"ExitAfterXBars";"0.0";"20.65";"1.3";"1.3"
"Strategy 4.19.179";"";"6";"883";"1.57";"32031.84";"2463.91";"13.0";"36.28";"0.85";"413";"";"";"TEMA";"ExitAfterXBars";"0.0";"17.3";"0.99";"0.99"
"Strategy 2.19.118";"";"4";"1003";"1.54";"31881.62";"2463.91";"12.94";"31.79";"0.83";"573";"";"";"HighD";"ExitAfterXBars";"0.0";"17.25";"1.75";"1.75"
"Strategy 2.19.141";"";"4";"1061";"1.52";"31906.39";"2463.91";"12.95";"30.07";"0.82";"569";"";"";"HighD";"ExitAfterXBars";"0.0";"17.26";"1.55";"1.55"
"Strategy 2.19.147";"";"4";"1611";"1.44";"42975.68";"3269.96";"13.14";"26.68";"0.89";"495";"";"";"TEMA";"ExitAfterXBars";"0.0";"20.35";"1.02";"1.02"
"Strategy 2.19.148";"";"6";"951";"1.54";"34666.4";"2463.91";"14.07";"36.45";"0.84";"316";"";"";"TEMA";"ExitAfterXBars";"0.0";"18.09";"0.96";"0.96"
"Strategy 2.19.186";"";"5";"1221";"1.46";"35598.38";"2528.36";"14.08";"29.16";"0.88";"505";"";"";"TEMA";"ExitAfterXBars";"0.0";"18.36";"1.01";"1.01"
"Strategy 1.17.111";"";"4";"862";"1.52";"30221.49";"2463.91";"12.27";"35.06";"0.82";"452";"";"";"High";"ExitAfterXBars";"0.0";"16.72";"1.1";"1.1"
"Strategy 1.17.136";"";"5";"911";"1.52";"31956.15";"2463.91";"12.97";"35.08";"0.89";"623";"";"";"HeikenAshiLow,HighD";"ExitAfterXBars";"0.0";"17.27";"1.0";"1.0"
"Strategy 4.20.100";"";"5";"1559";"1.46";"42269.81";"3463.31";"12.21";"27.11";"0.89";"586";"";"";"TEMA";"ExitAfterXBars";"0.0";"20.17";"1.0";"1.0"
"Strategy 4.20.107";"";"4";"1195";"1.45";"34997.16";"2463.91";"14.2";"29.29";"0.87";"490";"";"";"High";"ExitAfterXBars";"0.0";"18.19";"1.03";"1.03"
"Strategy 4.20.99";"";"4";"1647";"1.4";"40141.58";"2568.88";"15.63";"24.37";"0.87";"260";"";"";"TEMA";"ExitAfterXBars";"0.0";"19.62";"1.32";"1.32"
"Strategy 4.20.106";"";"4";"1478";"1.37";"33936.01";"2710.25";"12.52";"22.96";"0.88";"371";"";"";"HighestInRange";"ExitAfterXBars";"0.0";"17.88";"0.9";"0.9"
"Strategy 4.20.119";"";"4";"1508";"1.47";"41966.68";"3067.96";"13.68";"27.83";"0.9";"580";"";"";"TEMA";"ExitAfterXBars";"0.0";"20.1";"1.02";"1.02"
"Strategy 4.20.110";"";"5";"1037";"1.49";"33321.8";"2463.91";"13.52";"32.13";"0.86";"392";"";"";"TEMA";"ExitAfterXBars";"0.0";"17.69";"1.26";"1.26"
"Strategy 4.20.112";"";"4";"1445";"1.4";"36730.22";"2463.91";"14.91";"25.42";"0.88";"246";"";"";"TEMA";"ExitAfterXBars";"0.0";"18.69";"1.24";"1.24"
"Strategy 4.20.118";"";"5";"2245";"1.3";"39724.87";"3102.42";"12.8";"17.69";"0.85";"398";"";"";"High";"ExitAfterXBars";"0.0";"19.51";"1.05";"1.05"
"Strategy 4.20.122";"";"4";"816";"1.57";"30078.18";"2501.65";"12.02";"36.86";"0.88";"670";"";"";"TEMA";"ExitAfterXBars";"0.0";"16.68";"1.28";"1.28"
"Strategy 4.20.133";"";"6";"1539";"1.53";"46646.04";"2463.91";"18.93";"30.31";"0.9";"491";"";"";"TEMA";"ExitAfterXBars";"0.0";"21.25";"1.35";"1.35"
"Strategy 4.20.131";"";"5";"1591";"1.42";"40993.31";"2463.91";"16.64";"25.77";"0.88";"490";"";"";"TEMA";"ExitAfterXBars";"0.0";"19.84";"1.07";"1.07"
"Strategy 4.20.144";"";"4";"1246";"1.38";"30019.33";"2463.91";"12.18";"24.09";"0.91";"472";"";"";"High";"ExitAfterXBars";"0.0";"16.66";"1.07";"1.07"
"Strategy 4.20.151";"";"5";"1295";"1.56";"42071.14";"2463.91";"17.07";"32.49";"0.9";"398";"";"";"TEMA";"ExitAfterXBars";"0.0";"20.12";"1.37";"1.37"
"Strategy 4.20.156";"";"5";"1738";"1.4";"42254.12";"3310.22";"12.76";"24.31";"0.86";"524";"";"";"Close";"ExitAfterXBars";"0.0";"20.17";"1.1";"1.1"
"Strategy 4.20.152";"";"3";"1517";"1.4";"37302.45";"2463.91";"15.14";"24.59";"0.9";"490";"";"";"HighestInRange";"ExitAfterXBars";"0.0";"18.85";"0.97";"0.97"
"Strategy 4.20.159";"";"5";"1150";"1.55";"38125.91";"2487.84";"15.32";"33.15";"0.9";"470";"";"";"TEMA";"ExitAfterXBars";"0.0";"19.07";"1.37";"1.37"
"Strategy 4.20.165";"";"5";"1345";"1.47";"38816.55";"2463.91";"15.75";"28.86";"0.88";"392";"";"";"TEMA";"ExitAfterXBars";"0.0";"19.26";"1.3";"1.3"
"Strategy 4.20.160";"";"6";"886";"1.58";"33048.66";"2605.37";"12.68";"37.3";"0.85";"311";"";"";"TEMA";"ExitAfterXBars";"0.0";"17.61";"1.01";"1.01"
"Strategy 4.20.169";"";"3";"1521";"1.4";"37295.41";"2463.91";"15.14";"24.52";"0.9";"490";"";"";"HighestInRange";"ExitAfterXBars";"0.0";"18.84";"0.96";"0.96"
"Strategy 4.20.171";"";"3";"1524";"1.43";"39178.67";"2463.91";"15.9";"25.71";"0.89";"413";"";"";"HighestInRange";"ExitAfterXBars";"0.0";"19.36";"1.07";"1.07"
"Strategy 4.20.175";"";"5";"1736";"1.45";"45577.19";"3042.25";"14.98";"26.25";"0.89";"504";"";"";"TEMA";"ExitAfterXBars";"0.0";"20.99";"1.11";"1.11"
"Strategy 4.20.182";"";"5";"1629";"1.4";"39358.25";"2698.05";"14.59";"24.16";"0.88";"520";"";"";"Close";"ExitAfterXBars";"0.0";"19.41";"1.21";"1.21"
"Strategy 4.20.187";"";"4";"804";"1.58";"29621.34";"2463.91";"12.02";"36.84";"0.88";"398";"";"";"TEMA";"ExitAfterXBars";"0.0";"16.53";"1.05";"1.05"
"Strategy 3.20.102";"";"3";"1161";"1.48";"35840.36";"2861.64";"12.52";"30.87";"0.87";"397";"";"";"High";"ExitAfterXBars";"0.0";"18.43";"1.16";"1.16"
"Strategy 3.20.110";"";"3";"993";"1.52";"32028.72";"2463.91";"13.0";"32.25";"0.85";"895";"";"";"HighestInRange";"ExitAfterXBars";"0.0";"17.3";"0.99";"0.99"
