"Strategy Name";"Filters result";"Complexity";"# of trades";"Net profit";"Ret/DD Ratio";"Avg. Trade";"Drawdown";"Stability";"Stagnation";"Mini equity chart";"Price indicators";"Entry indicators";"Exit indicators";"Trades Symmetry";"CAGR";"Stagnation (MC retest, Conf. level 95%)";"CAGR/Max DD %";"CAGR/Max DD % (MC retest, Conf. level 95%)"
"Strategy 5.6.52";"PASSED";"6";"80";"3097.0";"4.2";"38.71";"737.0";"0.55";"169";"";"HullMovingAverage";"LinearRegression,Pivots";"ExitAfterXBars";"0.0";"30.97";"N/A";"5.81";"5.81"
"Strategy 2.9.45";"PASSED";"7";"111";"99.0";"0.08";"0.89";"1186.0";"0.57";"209";"";"HighD,SmallestRange";"SRPercentRank";"ExitAfterXBars";"0.0";"0.99";"N/A";"0.09";"0.09"
"Strategy 5.6.46";"FAILED";"8";"125";"-998.0";"-0.46";"-7.98";"2190.0";"-0.59";"245";"";"HullMovingAverage";"BollingerBands,LinearRegression";"ExitAfterXBars";"0.0";"-9.98";"N/A";"-0.51";"-0.51"
"Strategy 5.6.51";"PASSED";"8";"129";"2571.0";"4.57";"19.93";"562.0";"0.77";"78";"";"BBWidthRatio,HighD";"SRPercentRank";"ExitAfterXBars";"0.0";"25.71";"N/A";"5.13";"5.13"
"Strategy 1.5.47";"FAILED";"7";"168";"-910.0";"-0.54";"-5.42";"1696.0";"-0.59";"251";"";"BBWidthRatio,HullMovingAverage";"AwesomeOscillator";"ExitAfterXBars";"0.0";"-9.1";"N/A";"-0.57";"-0.57"
"Strategy 1.18.39";"PASSED";"7";"147";"115.0";"0.11";"0.78";"1030.0";"0.32";"105";"";"BBWidthRatio,HullMovingAverage";"AwesomeOscillator";"ExitAfterXBars";"0.0";"1.15";"N/A";"0.12";"0.12"
"Strategy 5.10.31(1)";"FAILED";"7";"125";"-602.0";"-0.31";"-4.82";"1931.0";"-0.52";"245";"";"HullMovingAverage";"LowestInRange,SMA";"ExitAfterXBars";"0.0";"-6.02";"N/A";"-0.35";"-0.35"
"Strategy 2.9.50";"PASSED";"8";"168";"1105.0";"1.46";"6.58";"759.0";"0.74";"160";"";"HullMovingAverage";"BollingerBands,KeltnerChannel,Open";"ExitAfterXBars";"0.0";"11.05";"N/A";"1.68";"1.68"
"Strategy 5.14.36";"PASSED";"8";"217";"2127.0";"1.94";"9.8";"1099.0";"0.69";"110";"";"HullMovingAverage,SmallestRange";"KeltnerChannel";"ExitAfterXBars";"0.0";"21.27";"N/A";"2.16";"2.16"
"Strategy 5.14.37";"PASSED";"5";"231";"1080.0";"0.94";"4.68";"1143.0";"0.51";"70";"";"LowestInRange";"LowestInRange,SMA";"ExitAfterXBars";"0.0";"10.8";"N/A";"1.16";"1.16"
"Strategy 3.17.45";"FAILED";"8";"198";"-180.0";"-0.08";"-0.91";"2311.0";"-0.25";"153";"";"HullMovingAverage,SmallestRange";"LowestInRange,SMA";"ExitAfterXBars";"0.0";"-1.8";"N/A";"-0.09";"-0.09"
"Strategy 2.9.38";"PASSED";"6";"188";"1887.0";"2.62";"10.04";"719.0";"0.66";"110";"";"HullMovingAverage";"LowestInRange,SMA";"ExitAfterXBars";"0.0";"18.87";"N/A";"2.91";"2.91"
